Time,Tip_X,Tip_Y,Tip_Z,J1_Angle,J2_Angle,J3_Angle
12.71,0.0649,0.1605,1.1555,-12.92,-0.25,0.65
12.8,0.0676,0.162,1.152,-13.67,-0.26,0.66
12.9,0.0,0.15,1.2,0.15,-0.09,0.22
13.0,0.0,0.15,1.2,0.0,0.0,0.0
13.01,0.0,0.15,1.2,0.14,-0.09,0.22
13.11,0.0,0.15,1.2,0.14,-0.09,0.22
13.2,0.0,0.15,1.2,0.13,-0.09,0.23
13.21,0.0822,0.1564,1.1431,-16.88,-0.32,0.61
13.3,0.0857,0.153,1.1427,-17.68,-0.33,0.58
13.31,0.0,0.15,1.2,0.0,0.0,0.0
13.4,0.0,0.15,1.2,0.0,0.0,0.0
13.41,0.0,0.15,1.2,0.12,-0.09,0.23
13.51,0.0,0.15,1.2,0.11,-0.09,0.24
13.6,0.0946,0.1389,1.1459,-20.22,-0.4,0.47
13.7,0.0,0.15,1.2,0.0,0.0,0.0
13.71,0.0,0.15,1.2,0.1,-0.1,0.25
13.8,0.0,0.15,1.2,0.09,-0.1,0.25
13.9,0.0,0.15,1.2,0.08,-0.1,0.25
13.91,0.0982,0.1225,1.1544,-22.69,-0.46,0.28
14.01,0.098,0.1172,1.1579,-23.46,-0.47,0.03
14.1,0.0972,0.1121,1.1615,-24.17,-0.48,-0.19
14.2,0.0,0.15,1.2,0.0,0.0,0.0
14.31,0.0,0.15,1.2,0.06,-0.1,0.27
14.4,0.0,0.15,1.2,0.05,-0.1,0.27
14.41,0.0911,0.0978,1.1729,-26.05,-0.49,-0.81
14.5,0.0883,0.0939,1.1763,-26.52,-0.5,-0.98
14.51,0.0,0.15,1.2,0.0,0.0,0.0
14.61,0.0,0.15,1.2,0.0,0.0,0.0
14.7,0.0,0.15,1.2,0.0,0.0,0.0
14.71,0.0,0.15,1.2,0.03,-0.11,0.29
14.8,0.0,0.15,1.2,0.02,-0.11,0.29
14.9,0.0,0.15,1.2,0.01,-0.11,0.3
14.91,0.0727,0.081,1.1883,-27.41,-0.5,-2.16
15.0,0.0685,0.0788,1.1904,-27.52,-0.5,-2.19
15.2,0.0,0.15,1.2,-0.01,-0.11,0.31
15.21,0.0595,0.0753,1.194,-27.48,-0.5,-2.23
15.31,0.0551,0.0741,1.1953,-27.33,-0.5,-2.24
15.41,0.0,0.15,1.2,0.0,0.0,0.0
15.51,0.0,0.15,1.2,-0.04,-0.12,0.32
15.6,0.0422,0.0725,1.1977,-26.32,-0.48,-2.24
15.71,0.0,0.15,1.2,0.0,0.0,0.0
15.8,0.0,0.15,1.2,0.0,0.0,0.0
15.81,0.0,0.15,1.2,-0.06,-0.12,0.33
15.9,0.0,0.15,1.2,-0.07,-0.12,0.34
16.0,0.0,0.15,1.2,-0.08,-0.12,0.34
16.01,0.0266,0.0749,1.198,-1.81,0.24,-2.26
16.1,0.0233,0.0762,1.1976,-1.76,0.25,-2.33
16.11,0.0,0.15,1.2,0.0,0.0,0.0
16.2,0.0,0.15,1.2,0.0,0.0,0.0
16.21,0.0,0.15,1.2,-0.09,-0.12,0.35
16.31,0.0,0.15,1.2,-0.1,-0.13,0.35
16.41,0.0132,0.0825,1.1955,-1.58,0.29,-2.54
16.5,0.0101,0.0853,1.1944,-1.51,0.29,-2.59
16.51,0.0,0.15,1.2,0.0,0.0,0.0
16.6,0.0,0.15,1.2,0.0,0.0,0.0
16.71,0.0,0.15,1.2,-0.14,-0.13,0.37
16.8,0.0011,0.0961,1.1896,-1.28,0.28,-2.65
16.91,0.0,0.15,1.2,0.0,0.0,0.0
17.0,0.0,0.15,1.2,0.0,0.0,0.0
17.01,0.0,0.15,1.2,-0.16,-0.13,0.38
17.1,0.0,0.15,1.2,-0.17,-0.13,0.38
17.11,-0.0074,0.1103,1.1812,-1.04,0.21,-2.49
17.21,-0.01,0.1154,1.1775,-0.96,0.17,-2.37
17.31,0.0,0.15,1.2,0.0,0.0,0.0
17.4,0.0,0.15,1.2,0.0,0.0,0.0
17.41,0.0,0.15,1.2,-0.19,-0.14,0.39
17.5,0.0,0.15,1.2,0.0,0.0,0.0
17.51,0.0,0.15,1.2,-0.2,-0.14,0.39
17.7,0.0,0.15,1.2,-0.22,-0.14,0.4
17.71,-0.0208,0.1432,1.147,-0.61,-0.14,-1.12
17.8,-0.0221,0.148,1.1387,-0.56,-0.2,-0.79
17.81,0.0,0.15,1.2,0.0,0.0,0.0
17.9,0.0,0.15,1.2,0.0,0.0,0.0
17.91,0.0,0.15,1.2,-0.23,-0.14,0.41
18.0,0.0,0.15,1.2,-0.24,-0.14,0.41
18.01,-0.0235,0.1564,1.1182,-0.46,-0.22,-0.25
18.11,-0.0235,0.1591,1.1075,-0.43,-0.22,0.03
18.2,-0.023,0.1608,1.0965,-0.4,-0.23,0.32
18.21,0.0,0.15,1.2,0.0,0.0,0.0
18.3,0.0,0.15,1.2,0.0,0.0,0.0
18.31,0.0,0.15,1.2,-0.27,-0.14,0.42
18.4,0.0,0.15,1.2,-0.27,-0.15,0.42
18.5,-0.0188,0.1583,1.0599,0.17,-0.13,0.68
18.6,-0.0168,0.1546,1.0487,0.47,-0.04,0.69
18.61,0.0,0.15,1.2,0.0,0.0,0.0
18.7,0.0,0.15,1.2,0.0,0.0,0.0
18.71,0.0,0.15,1.2,-0.3,-0.15,0.43
18.81,0.0,0.15,1.2,-0.3,-0.15,0.43
18.91,-0.0101,0.1343,1.0184,1.48,0.21,0.64
19.0,-0.0083,0.1256,1.0114,1.92,0.29,0.56
19.01,0.0,0.15,1.2,0.0,0.0,0.0
19.1,0.0,0.15,1.2,0.0,0.0,0.0
19.21,0.0,0.15,1.2,-0.33,-0.15,0.44
19.3,-0.0064,0.0953,1.0007,4.64,1.33,-2.25
19.41,0.0,0.15,1.2,0.0,0.0,0.0
19.5,0.0,0.15,1.2,-0.35,-0.15,0.44
19.51,-0.0092,0.0772,1.0034,7.17,2.16,-4.68
19.6,0.0,0.15,1.2,-0.36,-0.15,0.44
19.61,-0.0119,0.0702,1.0075,8.6,2.59,-5.92
19.71,0.0,0.15,1.2,0.0,0.0,0.0
19.81,0.0,0.15,1.2,0.0,0.0,0.0
19.9,0.0,0.15,1.2,-0.38,-0.15,0.45
